Ticker,Asset,Role,Loss_Function,Model_1,Model_2,Observations,Mean_Loss_Model_1,Mean_Loss_Model_2,Mean_Loss_Difference,DM_Statistic,Raw_p_value,Lower_Mean_Loss_Model,Holm_Adjusted_p,Significant_Raw_5pct,Significant_Holm_5pct,Preferred_Model_if_Holm_Significant
WMT,Walmart,Stock,Squared_Error,Historical Variance,Random Forest,647,35.25399928090255,38.523994753981256,-3.2699954730786995,-1.5709243147179526,0.11668986928283645,Historical Variance,0.3500696078485094,False,False,No significant difference
WMT,Walmart,Stock,Squared_Error,Historical Variance,LSTM,647,35.25399928090255,34.16941573775013,1.084583543152413,1.504068115224924,0.1330525499982216,LSTM,0.3500696078485094,False,False,No significant difference
WMT,Walmart,Stock,Squared_Error,GARCH,Random Forest,647,34.01913942304562,38.523994753981256,-4.504855330935626,-2.1749859044713467,0.029993186769523245,GARCH,0.14996593384761622,True,False,No significant difference
WMT,Walmart,Stock,Squared_Error,GARCH,LSTM,647,34.01913942304562,34.16941573775013,-0.15027631470451275,-0.17485879065081125,0.861245380118661,GARCH,0.861245380118661,False,False,No significant difference
WMT,Walmart,Stock,Squared_Error,Random Forest,LSTM,647,38.523994753981256,34.16941573775013,4.354579016231114,1.9846400360606546,0.04760714973597146,LSTM,0.19042859894388584,True,False,No significant difference
WMT,Walmart,Stock,Absolute_Error,Historical Variance,GARCH,647,2.4092829765334742,2.2379791472946198,0.1713038292388543,3.5071648399034094,0.00048430222586431877,GARCH,0.0009686044517286375,True,True,GARCH
WMT,Walmart,Stock,Absolute_Error,Historical Variance,Random Forest,647,2.4092829765334742,2.5769368205712744,-0.1676538440378005,-1.8359071386977421,0.06683082923460927,Historical Variance,0.06683082923460927,False,False,No significant difference
WMT,Walmart,Stock,Absolute_Error,Historical Variance,LSTM,647,2.4092829765334742,2.030647411099278,0.37863556543419635,6.646701971446968,6.379122864062385e-11,LSTM,3.827473718437431e-10,True,True,LSTM
WMT,Walmart,Stock,Absolute_Error,GARCH,Random Forest,647,2.2379791472946198,2.5769368205712744,-0.3389576732766548,-4.052571513402489,5.682827424693694e-05,GARCH,0.00017048482274081083,True,True,GARCH
WMT,Walmart,Stock,Absolute_Error,GARCH,LSTM,647,2.2379791472946198,2.030647411099278,0.20733173619534206,4.653761583851045,3.956233714846302e-06,LSTM,1.582493485938521e-05,True,True,LSTM
WMT,Walmart,Stock,Absolute_Error,Random Forest,LSTM,647,2.5769368205712744,2.030647411099278,0.5462894094719969,6.330816192011007,4.5644970648751185e-10,LSTM,2.2822485324375593e-09,True,True,LSTM
