Date,Target_Date,Ticker,Asset,Role,Split,Log_Return,Squared_Return,Target_Squared_Return
2011-08-25,2011-08-26,TSLA,Tesla,Stock,Train,-3.235657311046093,10.469478234526033,7.008940478051767
2011-08-26,2011-08-29,TSLA,Tesla,Stock,Train,2.6474403634551935,7.008940478051767,16.376389597589032
2011-08-29,2011-08-30,TSLA,Tesla,Stock,Train,4.046775209668685,16.376389597589032,0.1051475085322848
2011-08-30,2011-08-31,TSLA,Tesla,Stock,Train,-0.3242645656439889,0.1051475085322848,0.1985573311573816
2011-08-31,2011-09-01,TSLA,Tesla,Stock,Train,0.4455977234652143,0.1985573311573816,9.221741072423178
2011-09-01,2011-09-02,TSLA,Tesla,Stock,Train,-3.03673197243734,9.221741072423178,15.618921406835671
2011-09-02,2011-09-06,TSLA,Tesla,Stock,Train,-3.9520781124410576,15.618921406835671,0.3193576058894428
2011-09-06,2011-09-07,TSLA,Tesla,Stock,Train,-0.565117338160353,0.3193576058894428,14.809241903222256
2011-09-07,2011-09-08,TSLA,Tesla,Stock,Train,3.848277784051231,14.809241903222256,0.9397977977549712
2011-09-08,2011-09-09,TSLA,Tesla,Stock,Train,-0.9694316880291108,0.9397977977549712,7.552368263446921
2011-09-09,2011-09-12,TSLA,Tesla,Stock,Train,-2.7481572486753594,7.552368263446921,0.1541190941232132
2011-09-12,2011-09-13,TSLA,Tesla,Stock,Train,-0.3925800480452531,0.1541190941232132,26.130924299449887
2011-09-13,2011-09-14,TSLA,Tesla,Stock,Train,5.1118415761298674,26.130924299449887,1.1534482371444377
2011-09-14,2011-09-15,TSLA,Tesla,Stock,Train,1.0739870749429146,1.1534482371444377,3.8137121623668193
2011-09-15,2011-09-16,TSLA,Tesla,Stock,Train,1.952872797282716,3.8137121623668193,14.995880884544562
2011-09-16,2011-09-19,TSLA,Tesla,Stock,Train,3.872451534176323,14.995880884544562,0.0135362115207871
2011-09-19,2011-09-20,TSLA,Tesla,Stock,Train,-0.1163452256037486,0.0135362115207871,0.8593298260823719
2011-09-20,2011-09-21,TSLA,Tesla,Stock,Train,0.9270004455675152,0.8593298260823719,0.3807695314707224
2011-09-21,2011-09-22,TSLA,Tesla,Stock,Train,-0.6170652570601609,0.3807695314707224,0.7304521589686291
2011-09-22,2011-09-23,TSLA,Tesla,Stock,Train,-0.8546649395924868,0.7304521589686291,8.318940512863152
2011-09-23,2011-09-26,TSLA,Tesla,Stock,Train,2.884257358985698,8.318940512863152,10.98527574373604
2011-09-26,2011-09-27,TSLA,Tesla,Stock,Train,-3.314404281878727,10.98527574373604,6.716078767753704
2011-09-27,2011-09-28,TSLA,Tesla,Stock,Train,2.5915398449095286,6.716078767753704,39.7379312443188
2011-09-28,2011-09-29,TSLA,Tesla,Stock,Train,-6.303802919216209,39.7379312443188,3.724229183107183
2011-09-29,2011-09-30,TSLA,Tesla,Stock,Train,-1.929826205415188,3.724229183107183,1.2391795526420244
2011-09-30,2011-10-03,TSLA,Tesla,Stock,Train,1.1131844198703216,1.2391795526420244,7.525782493979935
2011-10-03,2011-10-04,TSLA,Tesla,Stock,Train,-2.7433159668510543,7.525782493979935,0.0872878005282464
2011-10-04,2011-10-05,TSLA,Tesla,Stock,Train,-0.2954450888545051,0.0872878005282464,48.694687579753015
2011-10-05,2011-10-06,TSLA,Tesla,Stock,Train,6.978157893008227,48.694687579753015,36.95046288514408
2011-10-06,2011-10-07,TSLA,Tesla,Stock,Train,6.078689240711691,36.95046288514408,0.0123682619775121
2011-10-07,2011-10-10,TSLA,Tesla,Stock,Train,0.1112126880239485,0.0123682619775121,10.525836270246092
2011-10-10,2011-10-11,TSLA,Tesla,Stock,Train,3.2443545228975967,10.525836270246092,0.9470329387881596
2011-10-11,2011-10-12,TSLA,Tesla,Stock,Train,-0.9731561738940772,0.9470329387881596,0.4702704482689296
2011-10-12,2011-10-13,TSLA,Tesla,Stock,Train,0.6857626763457819,0.4702704482689296,0.25237309105573
2011-10-13,2011-10-14,TSLA,Tesla,Stock,Train,0.5023674860654599,0.25237309105573,0.1543799008036624
2011-10-14,2011-10-17,TSLA,Tesla,Stock,Train,0.39291207770144,0.1543799008036624,5.160161123955146
2011-10-17,2011-10-18,TSLA,Tesla,Stock,Train,-2.2715988034763415,5.160161123955146,10.89093490621205
2011-10-18,2011-10-19,TSLA,Tesla,Stock,Train,3.300141649416287,10.89093490621205,7.587714156665486
2011-10-19,2011-10-20,TSLA,Tesla,Stock,Train,-2.754580577268613,7.587714156665486,0.7017817612290733
